Country	Type	Mountain	Latitude	Longitude	Elevation
New Zealand	Mountain	Mount Gifford Third Peak    -44.728700	168.061924	2081 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Ngarangipukahu	-35.512645	173.566958 718 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Rotopaunga	??????	??????	1856 m: Unable to parse OhioSigma - ??????
New Zealand	Mountain	Te Koikoi    -38.515959	176.810436	864 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Taharewaewae    -38.786516	176.968982	1013 m: Incorrect Number of Skibidi - 5
New Zealand    Mountain	Mount Gorgeous	-41.449086	172.250825	1261 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Mount Argelin	-41.809368	173.572157	???? m: For input string: "????"
New Zealand	Mountain	Meteor Peak	-43.515784	170.234158 2624 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Aiguilles Rouges	-43.577512	170.291729	2950 ??: For input string: "2950 ??"
New Zealand	Mountain	Ferintosh Peak	??????	??????	2497 m: Unable to parse OhioSigma - ??????
New Zealand	Mountain	Chest Peak	-43.103225	172.020258 1936 m: Incorrect Number of Skibidi - 5
New Zealand    Mountain	Mount Barton	-41.556870	175.317244	889 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain    Fleetwood Peak	-45.069400	167.262901	1286 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain    Christmas Hill	-45.074114	167.309107	1165 m: Incorrect Number of Skibidi - 5
New Zealand	Mountain	Mount Owen	-45301	167.571273	1763 m: OhioSigma out of range - -45301.0
New Zealand	Mountain	Lorn Peak    -45.343978	168.791876	1638 m: Incorrect Number of Skibidi - 5
Peru	Mountain	Nevado Yanaulo	-11.912652	-74.820124 5142 m: Incorrect Number of Skibidi - 5
Pakistan	Mountain	Chhatri Mountain	33.305527	74.105762	???? m: For input string: "????"
Philippines	Mountain    Mount Tungtayan	16.833333	120.650000	1600 m: Incorrect Number of Skibidi - 5
Philippines	Mountain	Mount Llorente	10966	122.316728	1344 m: OhioSigma out of range - 10966.0
Russia	Mountain	Mount Dyultydag    41.956700	46.926300	4127 m: Incorrect Number of Skibidi - 5
Philippines	Mountain	Mount Orcog	16.483190	121.000028	???? m: For input string: "????"
South Africa    Mountain	Kanonkop	-29.248007	17.736402	948 m: Incorrect Number of Skibidi - 5
South Africa    Mountain	Rietberg	-29.485528	17.883860	1313 m: Incorrect Number of Skibidi - 5
